sample_depth_m,t_obs_s,min_sed_r_T_5C_m,min_sed_r_T_10C_m,min_sed_r_T_15C_m,min_sed_r_T_20C_m,min_sed_r_T_25C_m,min_sed_r_T_30C_m,min_sed_r_T_35C_m
0.0001,60.0,7.273003467023399e-07,7.273003467023399e-07,7.273003467023399e-07,5.596096231070959e-07,5.596096231070959e-07,5.596096231070959e-07,5.596096231070959e-07
0.0001,600.0,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07
0.0001,3600.0,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07
0.0001,14400.0,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07
0.0001,86400.0,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07
0.0001,604800.0,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07
0.0005,60.0,1.5966129821381635e-06,1.5966129821381635e-06,1.5966129821381635e-06,1.2284883311734517e-06,1.2284883311734517e-06,1.2284883311734517e-06,1.2284883311734517e-06
0.0005,600.0,5.596096231070959e-07,4.3058267701092107e-07,4.3058267701092107e-07,4.3058267701092107e-07,4.3058267701092107e-07,4.3058267701092107e-07,3.3130495632383106e-07
0.0005,3600.0,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07
0.0005,14400.0,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07
0.0005,86400.0,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07
0.0005,604800.0,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07
0.001,60.0,2.0750486187338384e-06,2.0750486187338384e-06,2.0750486187338384e-06,2.0750486187338384e-06,1.5966129821381635e-06,1.5966129821381635e-06,1.5966129821381635e-06
0.001,600.0,7.273003467023399e-07,7.273003467023399e-07,7.273003467023399e-07,5.596096231070959e-07,5.596096231070959e-07,5.596096231070959e-07,5.596096231070959e-07
0.001,3600.0,3.3130495632383106e-07,2.549173014732109e-07,2.549173014732109e-07,2.549173014732109e-07,2.549173014732109e-07,1.9614204179567803e-07,1.9614204179567803e-07
0.001,14400.0,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07
0.001,86400.0,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07
0.001,604800.0,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07
0.002,60.0,3.50497978763566e-06,2.6968506571598284e-06,2.6968506571598284e-06,2.6968506571598284e-06,2.6968506571598284e-06,2.6968506571598284e-06,2.0750486187338384e-06
0.002,600.0,9.452407043617166e-07,9.452407043617166e-07,9.452407043617166e-07,9.452407043617166e-07,7.273003467023399e-07,7.273003467023399e-07,7.273003467023399e-07
0.002,3600.0,4.3058267701092107e-07,4.3058267701092107e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07
0.002,14400.0,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.9614204179567803e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07
0.002,86400.0,1.1612171754585431e-07,1.1612171754585431e-07,1.1612171754585431e-07,1.1612171754585431e-07,1.1612171754585431e-07,1.1612171754585431e-07,1.1612171754585431e-07
0.002,604800.0,1.1612171754585431e-07,1.1612171754585431e-07,1.1612171754585431e-07,1.1612171754585431e-07,1.1612171754585431e-07,1.1612171754585431e-07,1.1612171754585431e-07
0.01,60.0,7.694340111955487e-06,7.694340111955487e-06,5.920286975844719e-06,5.920286975844719e-06,5.920286975844719e-06,5.920286975844719e-06,4.555270155252966e-06
0.01,600.0,2.0750486187338384e-06,2.0750486187338384e-06,2.0750486187338384e-06,2.0750486187338384e-06,1.5966129821381635e-06,1.5966129821381635e-06,1.5966129821381635e-06
0.01,3600.0,9.452407043617166e-07,9.452407043617166e-07,9.452407043617166e-07,7.273003467023399e-07,7.273003467023399e-07,7.273003467023399e-07,7.273003467023399e-07
0.01,14400.0,4.3058267701092107e-07,4.3058267701092107e-07,4.3058267701092107e-07,4.3058267701092107e-07,3.3130495632383106e-07,3.3130495632383106e-07,3.3130495632383106e-07
0.01,86400.0,1.9614204179567803e-07,1.9614204179567803e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07,1.5091835798293322e-07
0.01,604800.0,6.874738919994404e-08,6.874738919994404e-08,6.874738919994404e-08,6.874738919994404e-08,6.874738919994404e-08,6.874738919994404e-08,6.874738919994404e-08
